timestamp,clase,confianza,x1,y1,x2,y2
2025-11-29 16:54:18,silla,0.40,24,1,638,472
2025-11-29 16:54:19,silla,0.42,23,0,638,471
2025-11-29 16:54:19,banco,0.38,22,1,638,471
2025-11-29 16:54:19,persona,0.45,504,229,639,346
2025-11-29 16:54:19,teclado,0.40,384,1,639,166
2025-11-29 16:54:19,persona,0.59,492,229,639,378
2025-11-29 16:54:19,teclado,0.43,373,1,639,163
2025-11-29 16:54:19,persona,0.59,492,229,639,378
2025-11-29 16:54:19,teclado,0.43,373,1,639,163
2025-11-29 16:54:20,persona,0.55,409,198,639,406
2025-11-29 16:54:20,persona,0.38,12,3,639,468
2025-11-29 16:54:20,persona,0.74,376,227,639,448
2025-11-29 16:54:20,libro,0.37,260,256,639,453
2025-11-29 16:54:21,teclado,0.45,1,1,634,218
2025-11-29 16:54:21,portátil,0.87,0,182,627,474
2025-11-29 16:54:21,teclado,0.86,0,0,624,218
2025-11-29 16:54:21,portátil,0.87,0,182,627,474
2025-11-29 16:54:21,teclado,0.86,0,0,624,218
2025-11-29 16:54:21,portátil,0.74,6,176,631,473
2025-11-29 16:54:21,persona,0.65,450,245,639,472
2025-11-29 16:54:21,teléfono celular,0.60,0,179,627,473
2025-11-29 16:54:21,teclado,0.44,0,0,631,208
2025-11-29 16:54:21,teclado,0.67,0,0,625,219
2025-11-29 16:54:21,persona,0.51,459,268,639,473
2025-11-29 16:54:21,libro,0.40,61,312,529,473
2025-11-29 16:54:21,teclado,0.74,0,0,626,223
2025-11-29 16:54:21,teclado,0.63,0,0,616,224
2025-11-29 16:54:21,teclado,0.69,0,1,556,219
2025-11-29 16:54:21,teclado,0.82,0,0,572,214
2025-11-29 16:54:22,teclado,0.82,0,0,572,214
2025-11-29 16:54:22,teclado,0.82,0,0,585,218
2025-11-29 16:54:22,teclado,0.81,0,1,598,225
2025-11-29 16:54:22,teclado,0.88,1,0,613,233
2025-11-29 16:54:22,teclado,0.79,1,0,637,252
2025-11-29 16:54:22,teclado,0.81,3,0,636,245
2025-11-29 16:54:22,teclado,0.82,1,0,636,250
2025-11-29 16:54:22,teclado,0.82,1,0,636,250
2025-11-29 16:54:22,libro,0.47,302,286,638,475
2025-11-29 16:54:23,teclado,0.60,0,2,639,282
2025-11-29 16:54:23,teclado,0.77,3,1,639,260
2025-11-29 16:54:23,teclado,0.77,3,1,639,260
2025-11-29 16:54:23,teclado,0.78,1,1,640,267
2025-11-29 16:54:23,teclado,0.78,0,1,639,278
2025-11-29 16:54:23,teclado,0.88,0,3,639,324
2025-11-29 16:54:23,teclado,0.90,0,3,640,315
2025-11-29 16:54:23,teclado,0.90,0,3,640,315
2025-11-29 16:54:24,teclado,0.76,1,3,639,315
2025-11-29 16:54:24,teclado,0.67,0,4,514,247
2025-11-29 16:54:25,teclado,0.69,0,11,598,251
2025-11-29 16:54:25,persona,0.37,441,369,639,476
2025-11-29 16:54:25,teclado,0.69,0,2,627,224
2025-11-29 16:54:25,persona,0.43,466,350,639,476
2025-11-29 16:54:25,portátil,0.40,0,306,68,474
2025-11-29 16:54:25,teclado,0.59,3,2,581,142
2025-11-29 16:54:25,teclado,0.36,0,2,629,343
2025-11-29 16:54:25,teléfono celular,0.67,133,72,539,427
2025-11-29 16:54:25,persona,0.60,205,329,639,476
2025-11-29 16:54:25,teclado,0.55,5,2,563,147
2025-11-29 16:54:25,teclado,0.56,0,4,629,232
2025-11-29 16:54:25,teléfono celular,0.39,139,99,551,447
2025-11-29 16:54:25,persona,0.39,444,346,639,477
2025-11-29 16:54:25,teclado,0.68,0,4,633,235
2025-11-29 16:54:25,teléfono celular,0.66,145,82,554,452
2025-11-29 16:54:25,persona,0.58,459,351,639,478
2025-11-29 16:54:25,teléfono celular,0.63,158,95,572,459
2025-11-29 16:54:25,teclado,0.56,0,4,631,232
2025-11-29 16:54:25,persona,0.46,473,355,639,478
2025-11-29 16:54:26,teléfono celular,0.80,153,74,575,463
2025-11-29 16:54:26,teclado,0.58,0,5,629,232
2025-11-29 16:54:26,persona,0.43,478,357,639,478
2025-11-29 16:54:26,teléfono celular,0.80,144,67,579,465
2025-11-29 16:54:26,teclado,0.66,0,5,638,232
2025-11-29 16:54:26,persona,0.41,481,357,639,478
2025-11-29 16:54:26,teléfono celular,0.75,140,63,583,464
2025-11-29 16:54:26,teclado,0.66,1,3,634,230
2025-11-29 16:54:26,persona,0.43,479,358,639,478
2025-11-29 16:54:26,teléfono celular,0.75,140,63,583,464
2025-11-29 16:54:26,teclado,0.66,1,3,634,230
2025-11-29 16:54:26,persona,0.43,479,358,639,478
2025-11-29 16:54:26,teléfono celular,0.71,134,62,582,465
2025-11-29 16:54:26,teclado,0.68,0,2,632,229
2025-11-29 16:54:26,portátil,0.42,0,315,67,474
2025-11-29 16:54:26,teléfono celular,0.71,133,60,596,472
2025-11-29 16:54:26,teclado,0.63,1,3,623,233
2025-11-29 16:54:26,portátil,0.37,0,321,66,474
2025-11-29 16:54:26,teléfono celular,0.73,126,60,599,473
2025-11-29 16:54:26,teclado,0.65,1,3,611,233
2025-11-29 16:54:26,persona,0.38,489,368,639,477
2025-11-29 16:54:26,teléfono celular,0.77,119,38,613,471
2025-11-29 16:54:26,teclado,0.66,0,2,622,233
2025-11-29 16:54:26,persona,0.48,494,371,639,476
2025-11-29 16:54:26,teléfono celular,0.74,112,33,614,474
2025-11-29 16:54:26,teclado,0.65,0,2,609,231
2025-11-29 16:54:26,teclado,0.58,145,3,633,153
2025-11-29 16:54:26,persona,0.38,492,375,639,477
2025-11-29 16:54:26,teclado,0.65,1,2,609,229
2025-11-29 16:54:26,teléfono celular,0.53,101,31,619,475
2025-11-29 16:54:26,control remoto,0.37,107,38,619,475
2025-11-29 16:54:26,teclado,0.65,1,2,609,229
2025-11-29 16:54:26,teléfono celular,0.53,101,31,619,475
2025-11-29 16:54:26,control remoto,0.37,107,38,619,475
2025-11-29 16:54:27,teléfono celular,0.70,85,11,624,474
2025-11-29 16:54:27,teclado,0.43,14,3,639,154
2025-11-29 16:54:27,teléfono celular,0.87,76,4,626,476
2025-11-29 16:54:27,teléfono celular,0.89,64,3,627,474
2025-11-29 16:54:27,teléfono celular,0.89,64,3,627,474
2025-11-29 16:54:27,teléfono celular,0.92,41,2,633,476
2025-11-29 16:54:27,control remoto,0.44,475,2,640,154
2025-11-29 16:54:27,teléfono celular,0.91,24,2,629,478
